tax_id	name_txt
1231657	Clohesyomyces aquaticus
1095465	Bondarzewia mesenterica
1249076	Ogataea wickerhamii
4919	Pichia
4922	Komagataella pastoris
4923	Ogataea pini
1149755	Hyaloscypha variabilis F
4925	Pichia sp.
914237	Rhynchosporium commune
914234	Gelatoporia subvermispora B
1286976	Phaeoacremonium minimum UCRPA7
2211642	Monosporascus sp. 5C6A
2211644	Monosporascus sp. CRB-8-3
2211645	Monosporascus sp. MG133
252740	Valsa sordida
2211646	Monosporascus sp. MC13-8B
2211647	Monosporascus sp. GIB2
986946	Aspergillus novoparasiticus
1126212	Macrophomina phaseolina MS6
242507	Pyricularia oryzae 70-15
1182541	Capronia coronata CBS 617.96
1182542	Capronia epimyces CBS 606.96
1182543	Cladophialophora psammophila CBS 110553
1182544	Cladophialophora yegresii CBS 114405
1182545	Exophiala aquamarina CBS 119918
336722	Zymoseptoria tritici IPO323
148305	Pyricularia grisea
327505	Fusarium oxysporum f. sp. radicis-cucumerinum
212818	Exophiala mesophila
1168221	Coniosporium apollinis CBS 100218
1229662	Pestalotiopsis fici W106-1
1229664	Fusarium oxysporum f. sp. cubense race 1
1330018	Calocera viscosa TUFC12733
1156966	Ogataea methanolica
1506151	Aspergillus pseudonomiae
383855	Pseudocercospora fijiensis CIRAD86
2010991	Fusarium kuroshium
1314672	Peniophora sp. CONT
1262450	Ophiostoma piceae UAMH 11346
112498	Ramularia collo-cygni
670580	Postia placenta MAD-698-R-SB12
1314674	Cylindrobasidium torrendii FP15055 ss-10
180088	Rhizopogon vesiculosus
1582974	Ceratobasidium theobromae
2078593	Colletotrichum shisoi
105351	Aspergillus awamori
1237896	Colletotrichum gloeosporioides Cg-14
1042311	Trichoderma asperellum CBS 433.97
2070412	Rutstroemia sp. NJR-2017a WRK4
2070413	Rutstroemia sp. NJR-2017a BVV2
526221	Verticillium alfalfae VaMs.102
158607	Diaporthe helianthi
578455	Thermothielavioides terrestris NRRL 8126
578458	Schizophyllum commune H4-8
983964	Trichoderma harzianum CBS 226.95
254877	Penicillium flavigenum
983965	Trichoderma longibrachiatum ATCC 18648
983967	[Candida] arabinofermentans NRRL YB-2248
104355	Gloeophyllum trabeum
420778	Diplodia seriata
154538	Trametes pubescens
765867	Pyrenochaeta sp. DS3sAY3a
1316786	Lachnellula cervina
1089458	Fusarium oxysporum f. sp. raphani 54005
650164	Phanerochaete carnosa HHB-10118-sp
1447872	Emergomyces pasteurianus Ep9510
1073089	Aspergillus wentii DTO 134E9
1073090	Penicilliopsis zonata CBS 506.65
5059	Aspergillus flavus
1447875	Helicocarpus griseus UAMH5409
5061	Aspergillus niger
5062	Aspergillus oryzae
1883078	Dentipellis sp. KUC8613
5067	Aspergillus parasiticus
1447883	Polytolypa hystricis UAMH7299
